Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Failure Type,temp_diff,power,torque_per_wear
0,298.8,309.9,1486,40.3,126,0,No Failure,11.099999999999966,59885.799999999996,0.3173228346456693
0,298.7,309.8,1402,54.3,128,0,No Failure,11.100000000000023,76128.59999999999,0.4209302325581395
0,298.7,309.9,1621,34.1,130,0,No Failure,11.199999999999989,55276.100000000006,0.2603053435114504
0,298.8,309.9,1428,42.4,132,0,No Failure,11.099999999999966,60547.2,0.318796992481203
1,298.7,309.8,1343,53.6,134,0,No Failure,11.100000000000023,71984.8,0.397037037037037
1,298.7,309.9,1458,40.2,137,0,No Failure,11.199999999999989,58611.600000000006,0.291304347826087
0,298.7,309.8,1322,57.0,140,0,No Failure,11.100000000000023,75354.0,0.40425531914893614
0,298.7,309.9,1483,32.8,142,0,No Failure,11.199999999999989,48642.399999999994,0.22937062937062935
0,298.6,309.8,1505,45.7,144,0,No Failure,11.199999999999989,68778.5,0.31517241379310346
0,298.7,309.9,1593,42.5,146,0,No Failure,11.199999999999989,67702.5,0.2891156462585034
0,298.8,310.0,2098,19.6,148,0,No Failure,11.199999999999989,41120.8,0.13154362416107385
0,298.8,310.0,1672,30.4,150,0,No Failure,11.199999999999989,50828.799999999996,0.20132450331125826
0,298.8,310.0,1487,41.4,152,0,No Failure,11.199999999999989,61561.799999999996,0.27058823529411763
0,298.8,310.0,1423,42.1,154,0,No Failure,11.199999999999989,59908.3,0.27161290322580645
0,298.9,310.1,1750,25.0,156,0,No Failure,11.200000000000045,43750.0,0.1592356687898089
0,298.9,310.2,1654,31.1,158,0,No Failure,11.300000000000011,51439.4,0.19559748427672957
0,298.9,310.2,1498,50.2,160,0,No Failure,11.300000000000011,75199.6,0.31180124223602484
0,298.9,310.1,1587,30.2,162,0,No Failure,11.200000000000045,47927.4,0.1852760736196319
0,298.9,310.1,1473,42.6,164,0,No Failure,11.200000000000045,62749.8,0.2581818181818182
0,298.9,310.2,1359,56.9,166,0,No Failure,11.300000000000011,77327.09999999999,0.3407185628742515
1,299.0,310.3,1635,34.5,168,0,No Failure,11.300000000000011,56407.5,0.20414201183431951
0,299.0,310.3,1520,45.0,171,0,No Failure,11.300000000000011,68400.0,0.2616279069767442
0,299.0,310.3,1507,36.7,173,0,No Failure,11.300000000000011,55306.9,0.21091954022988507
0,299.0,310.3,1428,46.3,175,0,No Failure,11.300000000000011,66116.4,0.2630681818181818
1,299.0,310.3,1582,33.3,177,0,No Failure,11.300000000000011,52680.6,0.18707865168539325
0,299.0,310.3,1929,24.4,180,0,No Failure,11.300000000000011,47067.6,0.13480662983425415
1,299.0,310.3,1540,38.1,182,0,No Failure,11.300000000000011,58674.0,0.20819672131147543
0,298.9,310.2,1362,53.0,185,0,No Failure,11.300000000000011,72186.0,0.2849462365591398
2,298.9,310.1,1452,49.9,187,0,No Failure,11.200000000000045,72454.8,0.2654255319148936
0,298.9,310.1,1361,51.7,192,0,No Failure,11.200000000000045,70363.7,0.2678756476683938
1,298.8,310.1,1243,74.5,194,1,Power Failure,11.300000000000011,92603.5,0.382051282051282
2,298.8,310.1,1567,36.8,197,0,No Failure,11.300000000000011,57665.6,0.18585858585858583
0,298.9,310.2,1411,46.5,202,0,No Failure,11.300000000000011,65611.5,0.229064039408867
0,298.8,310.2,1814,26.8,204,0,No Failure,11.399999999999977,48615.200000000004,0.13073170731707318
1,298.8,310.1,1719,28.8,206,0,No Failure,11.300000000000011,49507.200000000004,0.1391304347826087
2,298.8,310.2,1663,30.4,209,0,No Failure,11.399999999999977,50555.2,0.14476190476190476
0,298.9,310.2,1696,30.2,214,0,No Failure,11.300000000000011,51219.2,0.14046511627906977
2,298.9,310.2,1771,26.8,216,0,No Failure,11.300000000000011,47462.8,0.12350230414746544
0,299.0,310.3,1868,24.0,221,0,No Failure,11.300000000000011,44832.0,0.10810810810810811
1,299.0,310.3,1558,35.4,223,0,No Failure,11.300000000000011,55153.2,0.15803571428571428
0,299.0,310.4,1365,49.1,226,1,Overstrain Failure,11.399999999999977,67021.5,0.21629955947136564
0,299.0,310.4,1371,53.8,228,1,Overstrain Failure,11.399999999999977,73759.8,0.23493449781659387
0,298.9,310.3,1583,32.6,230,0,No Failure,11.400000000000034,51605.8,0.14112554112554113
2,298.7,310.2,1613,36.0,0,0,No Failure,11.5,58068.0,36.0
0,298.6,310.1,1721,27.2,5,0,No Failure,11.5,46811.2,4.533333333333333
1,298.6,310.2,1668,31.5,7,0,No Failure,11.599999999999966,52542.0,3.9375
0,298.6,310.2,1569,36.3,10,0,No Failure,11.599999999999966,56954.7,3.3
1,298.6,310.2,1328,50.5,12,0,No Failure,11.599999999999966,67064.0,3.8846153846153846
1,298.6,310.1,1596,33.0,15,0,No Failure,11.5,52668.0,2.0625
0,298.5,310.2,1676,32.7,18,0,No Failure,11.699999999999989,54805.200000000004,1.7210526315789476
0,298.5,310.1,1809,28.9,20,0,No Failure,11.600000000000023,52280.1,1.3761904761904762
0,298.5,310.0,1804,26.1,22,0,No Failure,11.5,47084.4,1.1347826086956523
0,298.6,310.1,1533,33.9,24,0,No Failure,11.5,51968.7,1.3559999999999999
0,298.7,310.2,1717,27.3,26,0,No Failure,11.5,46874.1,1.011111111111111
0,298.7,310.2,1363,45.5,28,0,No Failure,11.5,62016.5,1.5689655172413792
0,298.7,310.2,1402,45.9,30,0,No Failure,11.5,64351.799999999996,1.4806451612903226
0,298.7,310.2,1436,47.5,32,0,No Failure,11.5,68210.0,1.4393939393939394
0,298.7,310.2,1525,43.7,34,0,No Failure,11.5,66642.5,1.2485714285714287
1,298.7,310.2,1598,33.3,36,0,No Failure,11.5,53213.399999999994,0.8999999999999999
1,298.6,310.1,1444,48.1,39,0,No Failure,11.5,69456.40000000001,1.2025000000000001
0,298.6,310.0,1334,48.0,42,0,No Failure,11.399999999999977,64032.0,1.1162790697674418
1,298.6,310.0,1681,35.5,44,0,No Failure,11.399999999999977,59675.5,0.7888888888888889
0,298.6,309.9,1593,37.4,47,0,No Failure,11.299999999999955,59578.2,0.7791666666666667
0,298.6,309.9,1461,45.7,49,0,No Failure,11.299999999999955,66767.7,0.914
1,298.7,310.1,1693,31.9,51,0,No Failure,11.400000000000034,54006.7,0.6134615384615384
0,298.7,310.2,1404,50.3,54,0,No Failure,11.5,70621.2,0.9145454545454544
2,298.8,310.2,1707,27.6,56,0,No Failure,11.399999999999977,47113.200000000004,0.4842105263157895
1,298.6,310.1,1458,41.9,61,0,No Failure,11.5,61090.2,0.6758064516129032
0,298.6,310.0,1517,41.2,64,0,No Failure,11.399999999999977,62500.4,0.6338461538461538
0,298.7,310.1,1433,54.6,66,0,No Failure,11.400000000000034,78241.8,0.8149253731343283
0,298.7,310.2,1566,33.1,68,0,No Failure,11.5,51834.600000000006,0.4797101449275363
0,298.7,310.1,1676,33.5,70,0,No Failure,11.400000000000034,56146.0,0.47183098591549294
1,298.7,310.1,1368,56.8,72,0,No Failure,11.400000000000034,77702.4,0.7780821917808218
1,298.8,310.2,1581,37.5,75,0,No Failure,11.399999999999977,59287.5,0.4934210526315789
2,298.8,310.3,1708,27.1,78,0,No Failure,11.5,46286.8,0.3430379746835443
1,298.7,310.3,1481,41.5,83,0,No Failure,11.600000000000023,61461.5,0.49404761904761907
0,298.7,310.3,1451,40.0,86,0,No Failure,11.600000000000023,58040.0,0.45977011494252873
1,298.7,310.3,1495,38.7,88,0,No Failure,11.600000000000023,57856.50000000001,0.43483146067415734
1,298.8,310.3,1573,41.8,91,0,No Failure,11.5,65751.4,0.4543478260869565
1,298.8,310.3,1366,59.0,94,0,No Failure,11.5,80594.0,0.6210526315789474
0,298.8,310.3,1553,36.8,97,0,No Failure,11.5,57150.399999999994,0.3755102040816326
1,298.8,310.3,1528,37.1,99,0,No Failure,11.5,56688.8,0.371
1,298.8,310.2,1527,31.2,102,0,No Failure,11.399999999999977,47642.4,0.3029126213592233
0,298.8,310.2,1461,46.7,105,0,No Failure,11.399999999999977,68228.7,0.44056603773584907
2,298.8,310.2,1455,44.9,107,0,No Failure,11.399999999999977,65329.5,0.41574074074074074
0,298.7,310.1,1620,34.8,112,0,No Failure,11.400000000000034,56375.99999999999,0.3079646017699115
0,298.7,310.1,1786,27.7,114,0,No Failure,11.400000000000034,49472.2,0.2408695652173913
1,298.8,310.2,1583,35.7,116,0,No Failure,11.399999999999977,56513.100000000006,0.30512820512820515
0,298.8,310.1,1653,30.3,119,0,No Failure,11.300000000000011,50085.9,0.2525
1,298.9,310.2,1331,49.0,121,0,No Failure,11.300000000000011,65219.0,0.4016393442622951
0,298.9,310.3,1484,43.8,124,0,No Failure,11.400000000000034,64999.2,0.3504
1,298.9,310.2,1603,36.1,126,0,No Failure,11.300000000000011,57868.3,0.284251968503937
0,298.9,310.2,1445,40.0,129,0,No Failure,11.300000000000011,57800.0,0.3076923076923077
0,298.9,310.1,1823,26.1,131,0,No Failure,11.200000000000045,47580.3,0.19772727272727275
2,298.9,310.1,1491,45.3,133,0,No Failure,11.200000000000045,67542.3,0.3380597014925373
0,298.9,310.2,1533,42.8,138,0,No Failure,11.300000000000011,65612.4,0.3079136690647482
0,298.9,310.2,1409,54.8,140,0,No Failure,11.300000000000011,77213.2,0.38865248226950355
0,298.9,310.2,2737,8.8,142,1,Power Failure,11.300000000000011,24085.600000000002,0.06153846153846154
1,299.0,310.3,1494,46.6,144,0,No Failure,11.300000000000011,69620.40000000001,0.3213793103448276
0,299.1,310.4,1594,33.3,147,0,No Failure,11.299999999999955,53080.2,0.22499999999999998
0,299.1,310.4,1527,44.0,149,0,No Failure,11.299999999999955,67188.0,0.29333333333333333
0,299.1,310.4,1452,39.7,151,0,No Failure,11.299999999999955,57644.4,0.2611842105263158
0,299.0,310.3,1483,39.2,153,0,No Failure,11.300000000000011,58133.600000000006,0.2545454545454546
0,299.1,310.2,1569,38.2,155,0,No Failure,11.099999999999966,59935.8,0.2448717948717949
0,299.1,310.3,1472,46.6,157,0,No Failure,11.199999999999989,68595.2,0.2949367088607595
0,299.0,310.2,1533,43.5,159,0,No Failure,11.199999999999989,66685.5,0.271875
2,298.9,310.1,1366,62.7,161,0,No Failure,11.200000000000045,85648.2,0.38703703703703707
2,298.9,310.2,1532,37.7,166,0,No Failure,11.300000000000011,57756.4,0.225748502994012
1,298.9,310.1,1313,56.8,171,0,No Failure,11.200000000000045,74578.4,0.3302325581395349
0,299.0,310.2,1372,48.0,174,0,No Failure,11.199999999999989,65856.0,0.2742857142857143
1,298.9,310.1,1555,40.6,176,0,No Failure,11.200000000000045,63133.0,0.22937853107344633
0,298.9,310.1,1394,42.7,179,0,No Failure,11.200000000000045,59523.8,0.23722222222222225
0,298.9,310.1,1442,48.0,181,0,No Failure,11.200000000000045,69216.0,0.26373626373626374
0,298.9,310.0,1564,33.8,183,0,No Failure,11.100000000000023,52863.2,0.18369565217391304
0,298.9,310.0,1452,48.9,185,0,No Failure,11.100000000000023,71002.8,0.2629032258064516
0,298.9,310.1,1466,42.5,187,0,No Failure,11.200000000000045,62305.0,0.22606382978723405
1,298.9,310.1,1469,53.2,189,0,No Failure,11.200000000000045,78150.8,0.28
0,298.9,310.1,1944,23.4,192,0,No Failure,11.200000000000045,45489.6,0.12124352331606217
1,298.8,309.9,1415,53.2,194,0,No Failure,11.099999999999966,75278.0,0.27282051282051284
1,298.7,309.8,1528,36.7,197,0,No Failure,11.100000000000023,56077.600000000006,0.18535353535353538
1,298.7,309.8,1570,42.1,200,0,No Failure,11.100000000000023,66097.0,0.20945273631840797
0,298.7,309.9,1617,33.0,203,0,No Failure,11.199999999999989,53361.0,0.16176470588235295
1,298.7,309.9,2083,18.2,205,0,No Failure,11.199999999999989,37910.6,0.08834951456310679
0,298.7,309.9,1541,38.5,208,0,No Failure,11.199999999999989,59328.5,0.18421052631578946
0,298.8,309.9,1320,47.4,210,0,No Failure,11.099999999999966,62568.0,0.22464454976303316
0,298.7,309.8,1354,53.3,212,1,Overstrain Failure,11.100000000000023,72168.2,0.25023474178403754
1,298.8,309.9,1495,35.2,214,0,No Failure,11.099999999999966,52624.00000000001,0.16372093023255815
0,298.7,309.8,1589,31.8,217,0,No Failure,11.100000000000023,50530.200000000004,0.14587155963302753
0,298.7,309.8,1530,35.5,0,0,No Failure,11.100000000000023,54315.0,35.5
0,298.7,309.8,1539,33.4,2,0,No Failure,11.100000000000023,51402.6,11.133333333333333
0,298.7,309.7,1462,46.8,4,0,No Failure,11.0,68421.59999999999,9.36
0,298.6,309.7,1356,54.0,6,0,No Failure,11.099999999999966,73224.0,7.714285714285714
1,298.7,309.7,1622,34.6,8,0,No Failure,11.0,56121.200000000004,3.8444444444444446
0,298.7,309.8,1394,40.3,11,0,No Failure,11.100000000000023,56178.2,3.358333333333333
0,298.8,309.9,1568,33.7,13,0,No Failure,11.099999999999966,52841.600000000006,2.4071428571428575
1,298.9,310.0,1456,43.8,15,0,No Failure,11.100000000000023,63772.799999999996,2.7375
0,298.9,310.0,1378,49.3,18,0,No Failure,11.100000000000023,67935.4,2.594736842105263
1,298.9,309.9,1404,41.4,20,0,No Failure,11.0,58125.6,1.9714285714285713
0,298.8,309.8,1437,42.8,23,0,No Failure,11.0,61503.6,1.7833333333333332
0,298.8,309.8,1363,44.0,25,0,No Failure,11.0,59972.0,1.6923076923076923
1,298.8,309.8,1377,49.6,27,0,No Failure,11.0,68299.2,1.7714285714285716
2,298.8,309.9,1526,42.1,30,0,No Failure,11.099999999999966,64244.6,1.3580645161290323
2,298.8,309.8,1510,44.2,35,0,No Failure,11.0,66742.0,1.2277777777777779
2,298.8,309.9,1439,45.2,40,1,Unknown Failure,11.099999999999966,65042.8,1.102439024390244
0,298.8,309.9,1482,39.1,45,0,No Failure,11.099999999999966,57946.200000000004,0.85
1,298.8,309.8,1534,37.0,47,0,No Failure,11.0,56758.0,0.7708333333333334
1,298.8,309.9,1741,27.7,50,0,No Failure,11.099999999999966,48225.7,0.5431372549019607
0,298.8,309.9,1550,38.8,53,0,No Failure,11.099999999999966,60139.99999999999,0.7185185185185184
1,298.8,310.0,1486,38.5,55,0,No Failure,11.199999999999989,57211.0,0.6875
0,298.9,310.1,1602,38.2,58,0,No Failure,11.200000000000045,61196.4,0.6474576271186441
0,299.0,310.2,1477,37.9,60,0,No Failure,11.199999999999989,55978.299999999996,0.621311475409836
0,299.0,310.1,1618,29.2,62,0,No Failure,11.100000000000023,47245.6,0.46349206349206346
1,299.0,310.2,1628,35.8,64,0,No Failure,11.199999999999989,58282.399999999994,0.5507692307692307
1,299.0,310.3,1662,33.6,67,0,No Failure,11.300000000000011,55843.200000000004,0.49411764705882355
1,299.0,310.3,1657,31.0,70,0,No Failure,11.300000000000011,51367.0,0.43661971830985913
2,299.0,310.4,1677,30.8,73,0,No Failure,11.399999999999977,51651.6,0.41621621621621624
1,299.0,310.3,1447,39.9,78,0,No Failure,11.300000000000011,57735.299999999996,0.5050632911392405
0,298.9,310.4,1831,25.4,81,0,No Failure,11.5,46507.399999999994,0.3097560975609756
0,299.0,310.3,1584,34.4,83,0,No Failure,11.300000000000011,54489.6,0.4095238095238095
0,299.1,310.4,1450,40.9,85,0,No Failure,11.299999999999955,59305.0,0.4755813953488372
0,299.1,310.4,1428,46.9,87,0,No Failure,11.299999999999955,66973.2,0.5329545454545455
0,299.0,310.4,1382,53.0,89,0,No Failure,11.399999999999977,73246.0,0.5888888888888889
0,299.0,310.3,1501,43.0,91,0,No Failure,11.300000000000011,64543.0,0.4673913043478261
0,299.0,310.3,1475,42.4,93,0,No Failure,11.300000000000011,62540.0,0.451063829787234
0,298.9,310.3,1364,54.0,95,0,No Failure,11.400000000000034,73656.0,0.5625
0,299.0,310.3,1472,36.1,97,0,No Failure,11.300000000000011,53139.200000000004,0.36836734693877554
0,299.0,310.3,1437,47.8,99,0,No Failure,11.300000000000011,68688.59999999999,0.478
0,298.9,310.2,1491,45.1,101,0,No Failure,11.300000000000011,67244.1,0.4421568627450981
0,298.9,310.2,1706,27.6,103,0,No Failure,11.300000000000011,47085.600000000006,0.2653846153846154
0,298.8,310.1,1607,39.5,105,0,No Failure,11.300000000000011,63476.5,0.37264150943396224
0,298.8,310.0,1412,46.3,107,0,No Failure,11.199999999999989,65375.6,0.4287037037037037
0,298.7,309.8,1546,40.9,109,0,No Failure,11.100000000000023,63231.399999999994,0.3718181818181818
0,298.7,309.8,1365,50.5,111,0,No Failure,11.100000000000023,68932.5,0.45089285714285715
0,298.6,309.8,1544,30.2,113,0,No Failure,11.199999999999989,46628.799999999996,0.2649122807017544
1,298.6,309.8,1419,44.9,115,0,No Failure,11.199999999999989,63713.1,0.38706896551724135
0,298.6,309.8,1497,41.6,118,0,No Failure,11.199999999999989,62275.200000000004,0.34957983193277314
0,298.5,309.7,1437,42.6,120,0,No Failure,11.199999999999989,61216.200000000004,0.35206611570247937
0,298.5,309.6,1421,53.6,122,0,No Failure,11.100000000000023,76165.6,0.43577235772357725
1,298.5,309.6,1438,44.5,124,0,No Failure,11.100000000000023,63991.0,0.356
1,298.5,309.5,1315,48.9,127,0,No Failure,11.0,64303.5,0.38203125
1,298.5,309.5,1366,61.9,130,0,No Failure,11.0,84555.4,0.4725190839694656
1,298.4,309.5,1519,35.4,133,0,No Failure,11.100000000000023,53772.6,0.26417910447761195
0,298.4,309.5,1692,28.3,136,0,No Failure,11.100000000000023,47883.6,0.20656934306569344
0,298.3,309.4,1570,35.6,138,0,No Failure,11.099999999999966,55892.0,0.2561151079136691
0,298.3,309.4,1568,35.8,140,0,No Failure,11.099999999999966,56134.399999999994,0.25390070921985813
0,298.2,309.3,1355,43.8,142,0,No Failure,11.100000000000023,59348.99999999999,0.3062937062937063
1,298.2,309.3,2056,18.7,144,0,No Failure,11.100000000000023,38447.2,0.1289655172413793
1,298.2,309.2,1332,60.2,147,0,No Failure,11.0,80186.40000000001,0.40675675675675677
1,298.1,309.1,1448,52.5,150,0,No Failure,11.0,76020.0,0.347682119205298
0,298.0,308.9,1578,35.6,153,0,No Failure,10.899999999999977,56176.8,0.2311688311688312
1,298.0,309.0,1562,39.2,155,0,No Failure,11.0,61230.4,0.2512820512820513
1,298.1,309.0,1976,19.3,158,0,No Failure,10.899999999999977,38136.8,0.12138364779874214
1,298.2,309.2,1524,34.6,161,0,No Failure,11.0,52730.4,0.21358024691358027
0,298.2,309.1,1429,48.5,164,0,No Failure,10.900000000000034,69306.5,0.29393939393939394
0,298.2,309.1,1568,36.3,166,0,No Failure,10.900000000000034,56918.399999999994,0.21736526946107781
1,298.2,309.0,1723,26.6,168,0,No Failure,10.800000000000011,45831.8,0.15739644970414202
0,298.2,309.0,1341,43.8,171,0,No Failure,10.800000000000011,58735.799999999996,0.25465116279069766
1,298.1,308.9,1353,46.2,173,0,No Failure,10.799999999999955,62508.600000000006,0.2655172413793104
1,298.0,308.7,1479,58.5,176,1,Power Failure,10.699999999999989,86521.5,0.3305084745762712
0,298.0,308.8,1496,44.9,179,0,No Failure,10.800000000000011,67170.4,0.24944444444444444
1,298.0,308.7,1377,48.5,181,0,No Failure,10.699999999999989,66784.5,0.2664835164835165
2,297.9,308.5,1383,44.6,184,0,No Failure,10.600000000000023,61681.8,0.2410810810810811
0,298.0,308.7,1268,69.4,189,1,Power Failure,10.699999999999989,87999.20000000001,0.36526315789473685
0,298.0,308.7,1629,34.3,191,0,No Failure,10.699999999999989,55874.7,0.1786458333333333
0,298.0,308.8,1790,27.2,193,0,No Failure,10.800000000000011,48688.0,0.1402061855670103
1,298.1,308.8,2206,16.3,195,0,No Failure,10.699999999999989,35957.8,0.08316326530612245
1,298.0,308.7,2101,17.4,198,0,No Failure,10.699999999999989,36557.399999999994,0.08743718592964823
1,298.0,308.7,1436,48.2,201,0,No Failure,10.699999999999989,69215.2,0.23861386138613863
0,298.0,308.7,1462,48.2,204,0,No Failure,10.699999999999989,70468.40000000001,0.2351219512195122
0,298.0,308.7,1771,26.2,206,0,No Failure,10.699999999999989,46400.2,0.12657004830917873
0,298.0,308.7,1506,47.0,208,0,No Failure,10.699999999999989,70782.0,0.22488038277511962
0,298.0,308.7,1626,36.7,210,0,No Failure,10.699999999999989,59674.200000000004,0.17393364928909955
0,298.0,308.8,1610,33.7,212,0,No Failure,10.800000000000011,54257.00000000001,0.15821596244131456
1,298.0,308.6,1376,55.7,214,0,No Failure,10.600000000000023,76643.2,0.2590697674418605
1,298.0,308.6,1507,37.3,217,0,No Failure,10.600000000000023,56211.1,0.17110091743119266
0,298.0,308.5,1429,37.7,220,1,Tool Wear Failure,10.5,53873.3,0.17058823529411765
1,298.1,308.7,1547,38.9,0,0,No Failure,10.599999999999966,60178.299999999996,38.9
0,298.1,308.7,1642,30.3,3,0,No Failure,10.599999999999966,49752.6,7.575
2,298.0,308.7,1503,36.3,5,0,No Failure,10.699999999999989,54558.899999999994,6.05
0,298.1,308.7,1568,32.9,10,0,No Failure,10.599999999999966,51587.2,2.9909090909090907
1,298.1,308.8,1628,37.6,12,0,No Failure,10.699999999999989,61212.8,2.8923076923076922
1,298.2,308.9,1614,35.5,15,0,No Failure,10.699999999999989,57297.0,2.21875
0,298.2,308.9,1278,54.0,18,0,No Failure,10.699999999999989,69012.0,2.8421052631578947
1,298.2,308.9,1408,38.8,20,0,No Failure,10.699999999999989,54630.399999999994,1.8476190476190475
2,298.2,309.0,1371,55.7,23,0,No Failure,10.800000000000011,76364.7,2.3208333333333333
1,298.2,308.9,1512,38.5,28,0,No Failure,10.699999999999989,58212.0,1.3275862068965518
0,298.3,309.1,1472,40.1,31,0,No Failure,10.800000000000011,59027.200000000004,1.253125
1,298.2,308.9,1585,34.3,33,0,No Failure,10.699999999999989,54365.49999999999,1.0088235294117647
2,298.2,309.0,1562,37.7,36,0,No Failure,10.800000000000011,58887.4,1.018918918918919
0,298.3,309.0,1519,36.9,41,0,No Failure,10.699999999999989,56051.1,0.8785714285714286
0,298.2,309.0,1601,35.8,43,0,No Failure,10.800000000000011,57315.799999999996,0.8136363636363636
0,298.2,309.0,2449,13.8,45,0,No Failure,10.800000000000011,33796.200000000004,0.3
0,298.1,309.0,1787,27.6,47,0,No Failure,10.899999999999977,49321.200000000004,0.5750000000000001
2,298.1,309.1,1425,44.5,49,0,No Failure,11.0,63412.5,0.89
0,298.1,309.0,1559,34.0,54,0,No Failure,10.899999999999977,53006.0,0.6181818181818182
0,298.1,309.0,1557,36.0,56,0,No Failure,10.899999999999977,56052.0,0.631578947368421
0,298.1,309.0,1497,40.5,58,0,No Failure,10.899999999999977,60628.5,0.6864406779661016
2,298.1,309.0,1438,41.4,60,0,No Failure,10.899999999999977,59533.2,0.6786885245901639
1,298.1,308.9,1417,39.2,65,0,No Failure,10.799999999999955,55546.4,0.593939393939394
1,298.0,308.9,1339,51.4,68,0,No Failure,10.899999999999977,68824.59999999999,0.744927536231884
0,298.0,308.8,1757,29.1,71,0,No Failure,10.800000000000011,51128.700000000004,0.4041666666666667
0,298.0,308.8,1581,36.1,73,0,No Failure,10.800000000000011,57074.100000000006,0.48783783783783785
1,298.2,308.9,1326,54.4,75,0,No Failure,10.699999999999989,72134.4,0.7157894736842105
1,298.4,309.1,1467,39.6,78,0,No Failure,10.700000000000045,58093.200000000004,0.5012658227848101
0,298.4,309.1,1798,29.6,81,0,No Failure,10.700000000000045,53220.8,0.3609756097560976
1,298.5,309.2,1449,46.4,83,0,No Failure,10.699999999999989,67233.59999999999,0.5523809523809524
1,298.4,309.1,1525,39.3,86,0,No Failure,10.700000000000045,59932.49999999999,0.45172413793103444
0,298.4,309.0,2304,15.1,89,0,No Failure,10.600000000000023,34790.4,0.16777777777777778
0,298.3,308.9,1379,54.7,91,0,No Failure,10.599999999999966,75431.3,0.5945652173913044
0,298.4,308.9,1628,34.9,93,0,No Failure,10.5,56817.2,0.37127659574468086
0,298.4,309.0,1474,52.7,95,0,No Failure,10.600000000000023,77679.8,0.5489583333333333
1,298.4,309.0,1544,38.8,97,0,No Failure,10.600000000000023,59907.2,0.39591836734693875
0,298.4,308.9,1391,48.4,100,0,No Failure,10.5,67324.4,0.4792079207920792
0,298.3,308.9,1348,55.5,102,0,No Failure,10.599999999999966,74814.0,0.5388349514563107
1,298.3,308.8,1349,52.1,104,0,No Failure,10.5,70282.90000000001,0.4961904761904762
0,298.4,308.9,1706,29.5,107,0,No Failure,10.5,50327.0,0.27314814814814814
0,298.4,308.9,1638,32.4,109,0,No Failure,10.5,53071.2,0.29454545454545455
0,298.4,308.8,1458,40.1,111,0,No Failure,10.400000000000034,58465.8,0.3580357142857143
0,298.5,308.9,1781,27.8,113,0,No Failure,10.399999999999977,49511.8,0.24385964912280703
0,298.5,308.8,1332,59.1,115,0,No Failure,10.300000000000011,78721.2,0.5094827586206897
1,298.4,308.7,1584,31.7,117,0,No Failure,10.300000000000011,50212.799999999996,0.26864406779661015
0,298.4,308.6,1491,42.0,120,0,No Failure,10.200000000000045,62622.0,0.34710743801652894
2,298.4,308.5,1398,47.1,122,0,No Failure,10.100000000000023,65845.8,0.3829268292682927
0,298.3,308.4,1585,30.6,127,0,No Failure,10.099999999999966,48501.0,0.2390625
1,298.2,308.3,1476,43.5,129,0,No Failure,10.100000000000023,64206.0,0.3346153846153846
0,298.2,308.3,1458,41.8,132,0,No Failure,10.100000000000023,60944.399999999994,0.3142857142857143
1,298.2,308.4,1510,39.9,134,0,No Failure,10.199999999999989,60249.0,0.29555555555555557
0,298.2,308.4,1388,53.8,137,0,No Failure,10.199999999999989,74674.4,0.3898550724637681
0,298.2,308.3,2216,16.8,139,0,No Failure,10.100000000000023,37228.8,0.12000000000000001
0,298.2,308.3,1402,51.0,141,0,No Failure,10.100000000000023,71502.0,0.3591549295774648
1,298.0,308.2,2090,19.0,143,0,No Failure,10.199999999999989,39710.0,0.13194444444444445
0,298.0,308.2,1459,42.1,146,0,No Failure,10.199999999999989,61423.9,0.2863945578231293
1,298.0,308.1,1403,44.8,148,0,No Failure,10.100000000000023,62854.399999999994,0.3006711409395973
0,298.1,308.2,1521,39.3,151,0,No Failure,10.099999999999966,59775.299999999996,0.25855263157894737
0,298.2,308.2,1407,47.1,153,0,No Failure,10.0,66269.7,0.30584415584415586
1,298.1,308.2,1654,35.3,155,0,No Failure,10.099999999999966,58386.2,0.22628205128205126
0,298.2,308.4,1452,43.5,158,0,No Failure,10.199999999999989,63162.0,0.27358490566037735
0,298.3,308.4,1528,37.3,160,0,No Failure,10.099999999999966,56994.399999999994,0.23167701863354034
0,298.2,308.3,1230,59.6,162,0,No Failure,10.100000000000023,73308.0,0.3656441717791411
0,298.2,308.2,1466,42.4,164,0,No Failure,10.0,62158.4,0.25696969696969696
0,298.2,308.2,1478,50.1,166,0,No Failure,10.0,74047.8,0.3
0,298.2,308.3,2057,18.0,168,0,No Failure,10.100000000000023,37026.0,0.10650887573964497
0,298.3,308.4,1490,41.7,170,0,No Failure,10.099999999999966,62133.00000000001,0.24385964912280703
0,298.3,308.4,1484,43.4,172,0,No Failure,10.099999999999966,64405.6,0.2508670520231214
0,298.3,308.4,1593,37.0,174,0,No Failure,10.099999999999966,58941.0,0.21142857142857144
0,298.3,308.3,1444,43.8,176,0,No Failure,10.0,63247.2,0.24745762711864405
1,298.3,308.4,1444,47.5,178,0,No Failure,10.099999999999966,68590.0,0.26536312849162014
1,298.2,308.3,1560,33.0,181,0,No Failure,10.100000000000023,51480.0,0.1813186813186813
2,298.1,308.3,1530,42.0,184,0,No Failure,10.199999999999989,64260.0,0.22702702702702704
0,298.2,308.4,1310,61.0,189,1,Overstrain Failure,10.199999999999989,79910.0,0.32105263157894737
1,298.2,308.3,1639,33.3,191,0,No Failure,10.100000000000023,54578.7,0.1734375
